County,COVID Hospitalizations
ALACHUA,60
BAKER,1
BAY,14
BRADFORD,0
BREVARD,77
BROWARD,172
CALHOUN,1
CHARLOTTE,20
CITRUS,10
CLAY,31
COLLIER,28
COLUMBIA,25
DESOTO,0
DUVAL,137
ESCAMBIA,36
FLAGLER,7
FRANKLIN,0
GADSDEN,9
GULF,0
HARDEE,0
HENDRY,3
HERNANDO,27
HIGHLANDS,23
HILLSBOROUGH,156
HOLMES,0
INDIAN RIVER,7
JACKSON,6
LAKE,38
LEE,42
LEON,45
MADISON,0
MANATEE,29
MARION,20
MARTIN,11
MIAMI-DADE,272
MONROE,5
NASSAU,3
OKALOOSA,17
OKEECHOBEE,8
ORANGE,146
OSCEOLA,76
PALM BEACH,116
PASCO,45
PINELLAS,118
POLK,83
PUTNAM,3
SANTA ROSA,5
SARASOTA,30
SEMINOLE,27
ST. JOHNS,8
ST. LUCIE,42
SUMTER,19
SUWANNEE,0
TAYLOR,0
UNION,18
VOLUSIA,58
WALTON,4
WASHINGTON,5
All,"2,143"
