County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,893
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,153
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.146271511
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,454
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,47
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.093812375
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,501
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,55
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,5
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.083333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,44
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,37
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.456790123
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,43
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,5
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.104166667
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,9
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,5
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.357142857
